targ_direction;stroop_cong;trial_start;targ_pos;total_time;target_name;soa_onset;cue_pos;response;trial_number;congruent;SOA;cue_onset;fix_onset;rt;repetition;targ_onset;condition;Accuracy
-5;-1;0.0;5;3.146;Left;0.802;5;lctrl;1;1;48;0.752;0.0;0.522;4;1.609;practice;1
5;-1;0.0;-5;2.28;Right;0.8;-5;rctrl;2;1;3;0.75;0.0;0.409;3;0.851;practice;1
5;1;0.0;5;2.318;Right;0.801;5;rctrl;3;1;3;0.751;0.0;0.441;1;0.851;practice;1
-5;-1;0.0;5;3.035;Left;0.804;-5;lctrl;4;-1;48;0.754;0.0;0.401;0;1.607;practice;1
5;1;0.0;5;3.051;Right;0.801;5;rctrl;5;1;48;0.751;0.0;0.426;3;1.604;practice;1
5;1;0.0;5;2.224;Right;0.805;5;rctrl;6;1;3;0.755;0.0;0.365;0;0.855;practice;1
5;1;0.0;5;3.043;Right;0.802;5;rctrl;7;1;48;0.752;0.0;0.425;4;1.604;practice;1
-5;1;0.0;-5;2.25;Left;0.804;-5;lctrl;8;1;3;0.754;0.0;0.376;2;0.854;practice;1
-5;-1;0.0;5;2.361;Left;0.802;5;lctrl;9;1;3;0.752;0.0;0.494;4;0.853;practice;1
5;-1;0.0;-5;3.08;Right;0.801;-5;rctrl;10;1;48;0.752;0.0;0.461;4;1.603;practice;1
5;1;0.0;5;2.271;Right;0.8;-5;rctrl;11;-1;3;0.75;0.0;0.407;0;0.85;practice;1
5;1;0.0;5;2.202;Right;0.803;5;rctrl;12;1;3;0.752;0.0;0.329;3;0.853;practice;1
-5;-1;0.0;5;3.004;Left;0.803;5;lctrl;13;1;48;0.753;0.0;0.376;2;1.605;practice;1
5;1;0.0;5;3.004;Right;0.8;-5;rctrl;14;-1;48;0.75;0.0;0.371;1;1.607;practice;1
5;-1;0.0;-5;3.02;Right;0.801;-5;rctrl;15;1;48;0.751;0.0;0.403;1;1.604;practice;1
5;-1;0.0;-5;2.322;Right;0.803;5;rctrl;16;-1;3;0.753;0.0;0.453;0;0.853;practice;1
-5;1;0.0;-5;3.028;Left;0.805;5;lctrl;17;-1;48;0.756;0.0;0.402;0;1.607;practice;1
-5;-1;0.0;5;3.045;Left;0.801;5;lctrl;18;1;48;0.752;0.0;0.422;3;1.602;practice;1
5;1;0.0;5;3.003;Right;0.802;5;rctrl;19;1;48;0.752;0.0;0.378;2;1.602;practice;1
-5;1;0.0;-5;2.253;Left;0.801;-5;lctrl;20;1;3;0.751;0.0;0.381;1;0.851;practice;1
-5;-1;0.0;5;2.302;Left;0.807;5;lctrl;21;1;3;0.757;0.0;0.427;0;0.857;practice;1
5;1;0.0;5;2.255;Right;0.801;-5;rctrl;22;-1;3;0.751;0.0;0.388;1;0.851;practice;1
-5;1;0.0;-5;3.231;Left;0.802;5;lctrl;23;-1;48;0.751;0.0;0.607;1;1.604;practice;1
5;1;0.0;5;2.224;Right;0.801;5;rctrl;24;1;3;0.751;0.0;0.353;5;0.851;practice;1
-5;1;0.0;-5;2.219;Left;0.807;-5;lctrl;25;1;3;0.757;0.0;0.344;3;0.857;practice;1
5;1;0.0;5;3.004;Right;0.801;5;rctrl;26;1;48;0.751;0.0;0.38;1;1.603;practice;1
5;-1;0.0;-5;3.064;Right;0.801;-5;rctrl;27;1;48;0.751;0.0;0.448;0;1.602;practice;1
-5;1;0.0;-5;2.227;Left;0.802;-5;lctrl;28;1;3;0.752;0.0;0.354;5;0.852;practice;1
5;1;0.0;5;2.207;Right;0.802;5;rctrl;29;1;3;0.752;0.0;0.335;2;0.852;practice;1
-5;1;0.0;-5;3.061;Left;0.803;-5;lctrl;30;1;48;0.752;0.0;0.434;0;1.605;practice;1
5;-1;0.0;-5;3.078;Right;0.806;-5;rctrl;31;1;48;0.755;0.0;0.464;2;1.608;practice;1
-5;-1;0.0;5;2.234;Left;0.801;-5;lctrl;32;-1;3;0.751;0.0;0.369;1;0.851;practice;1
-5;1;0.0;-5;2.241;Left;0.802;5;lctrl;1;-1;3;0.752;0.0;0.369;1;0.852;en1;1
5;1;0.0;5;2.204;Right;0.807;5;rctrl;2;1;3;0.757;0.0;0.335;0;0.857;en1;1
-5;-1;0.0;5;2.944;Left;0.801;5;lctrl;3;1;48;0.751;0.0;0.326;0;1.602;en1;1
5;-1;0.0;-5;2.971;Right;0.802;5;rctrl;4;-1;48;0.752;0.0;0.347;0;1.605;en1;1
-5;-1;0.0;5;2.989;Left;0.801;-5;rctrl;5;-1;48;0.751;0.0;0.346;1;1.603;en1;0
5;-1;0.0;-5;2.357;Right;0.802;5;rctrl;6;-1;3;0.751;0.0;0.487;1;0.852;en1;1
-5;1;0.0;-5;2.235;Left;0.802;-5;lctrl;7;1;3;0.752;0.0;0.357;2;0.852;en1;1
-5;-1;0.0;5;2.33;Left;0.802;-5;lctrl;8;-1;3;0.752;0.0;0.465;0;0.852;en1;1
5;1;0.0;5;2.553;Right;0.802;-5;rctrl;9;-1;3;0.751;0.0;0.698;0;0.852;en1;1
5;1;0.0;5;2.979;Right;0.802;-5;rctrl;10;-1;48;0.753;0.0;0.36;0;1.604;en1;1
5;-1;0.0;-5;3.189;Right;0.802;-5;rctrl;11;1;48;0.752;0.0;0.568;5;1.608;en1;1
5;-1;0.0;-5;2.976;Right;0.799;5;rctrl;12;-1;48;0.749;0.0;0.36;1;1.6;en1;1
5;1;0.0;5;2.27;Right;0.801;5;rctrl;13;1;3;0.752;0.0;0.405;1;0.852;en1;1
-5;1;0.0;-5;2.278;Left;0.803;-5;lctrl;14;1;3;0.753;0.0;0.406;5;0.853;en1;1
-5;-1;0.0;5;3.127;Left;0.802;5;lctrl;15;1;48;0.752;0.0;0.504;1;1.604;en1;1
5;1;0.0;5;2.953;Right;0.806;5;rctrl;16;1;48;0.756;0.0;0.322;4;1.608;en1;1
-5;-1;0.0;5;3.113;Left;0.801;5;lctrl;17;1;48;0.751;0.0;0.494;3;1.604;en1;1
5;1;0.0;5;2.988;Right;0.802;5;rctrl;18;1;48;0.751;0.0;0.354;2;1.608;en1;1
-5;-1;0.0;5;3.238;Left;0.801;5;lctrl;19;1;48;0.751;0.0;0.621;4;1.602;en1;1
-5;-1;0.0;5;2.325;Left;0.802;5;lctrl;20;1;3;0.751;0.0;0.454;1;0.852;en1;1
-5;1;0.0;-5;3.0;Left;0.802;5;lctrl;21;-1;48;0.752;0.0;0.378;1;1.609;en1;1
-5;1;0.0;-5;2.987;Left;0.802;-5;lctrl;22;1;48;0.752;0.0;0.381;0;1.604;en1;1
5;-1;0.0;-5;2.322;Right;0.802;-5;rctrl;23;1;3;0.752;0.0;0.449;0;0.852;en1;1
5;1;0.0;5;3.045;Right;0.802;5;lctrl;24;1;48;0.751;0.0;0.395;5;1.603;en1;0
-5;1;0.0;-5;2.393;Left;0.806;-5;lctrl;25;1;3;0.756;0.0;0.512;4;0.856;en1;1
5;-1;0.0;-5;2.318;Right;0.806;-5;rctrl;26;1;3;0.756;0.0;0.432;3;0.856;en1;1
-5;1;0.0;-5;2.24;Left;0.801;5;lctrl;27;-1;3;0.751;0.0;0.368;0;0.851;en1;1
-5;-1;0.0;5;3.03;Left;0.803;-5;lctrl;28;-1;48;0.752;0.0;0.413;0;1.603;en1;1
-5;-1;0.0;5;2.271;Left;0.802;5;lctrl;29;1;3;0.752;0.0;0.383;5;0.852;en1;1
5;-1;0.0;-5;2.255;Right;0.8;5;rctrl;30;-1;3;0.75;0.0;0.388;0;0.85;en1;1
