targ_direction;stroop_cong;trial_start;targ_pos;total_time;target_name;soa_onset;cue_pos;response;trial_number;congruent;SOA;cue_onset;fix_onset;rt;repetition;targ_onset;condition;Accuracy
-5;-1;0.0;5;3.146;Left;0.802;5;lctrl;1;1;48;0.752;0.0;0.518;1;1.603;practice;1
5;-1;0.0;-5;2.364;Right;0.802;5;rctrl;2;-1;3;0.752;0.0;0.491;1;0.852;practice;1
5;1;0.0;5;2.255;Right;0.801;5;rctrl;3;1;3;0.751;0.0;0.396;0;0.856;practice;1
-5;-1;0.0;5;3.009;Left;0.803;-5;lctrl;4;-1;48;0.753;0.0;0.391;2;1.605;practice;1
-5;-1;0.0;5;2.592;Left;0.802;5;lctrl;5;1;3;0.752;0.0;0.714;2;0.852;practice;1
5;-1;0.0;-5;2.318;Right;0.801;5;rctrl;6;-1;3;0.751;0.0;0.452;2;0.851;practice;1
-5;-1;0.0;5;2.323;Left;0.802;-5;lctrl;7;-1;3;0.752;0.0;0.444;2;0.852;practice;1
5;1;0.0;5;3.066;Right;0.801;-5;rctrl;8;-1;48;0.751;0.0;0.442;1;1.604;practice;1
5;-1;0.0;-5;2.411;Right;0.801;5;rctrl;9;-1;3;0.751;0.0;0.546;3;0.851;practice;1
-5;1;0.0;-5;3.034;Left;0.806;-5;lctrl;10;1;48;0.756;0.0;0.411;2;1.607;practice;1
5;-1;0.0;-5;3.082;Right;0.801;-5;rctrl;11;1;48;0.751;0.0;0.453;3;1.604;practice;1
5;-1;0.0;-5;3.082;Right;0.801;5;rctrl;12;-1;48;0.751;0.0;0.452;0;1.604;practice;1
5;1;0.0;5;3.191;Right;0.806;5;rctrl;13;1;48;0.756;0.0;0.567;0;1.608;practice;1
-5;1;0.0;-5;3.072;Left;0.802;5;lctrl;14;-1;48;0.752;0.0;0.451;1;1.604;practice;1
5;-1;0.0;-5;3.134;Right;0.807;5;rctrl;15;-1;48;0.757;0.0;0.503;1;1.608;practice;1
5;1;0.0;5;2.52;Right;0.804;-5;rctrl;16;-1;3;0.754;0.0;0.65;2;0.855;practice;1
5;1;0.0;5;2.369;Right;0.802;5;rctrl;17;1;3;0.752;0.0;0.49;2;0.852;practice;1
5;1;0.0;5;2.269;Right;0.802;5;rctrl;18;1;3;0.752;0.0;0.394;3;0.852;practice;1
-5;1;0.0;-5;2.926;Left;0.801;5;lctrl;19;-1;48;0.751;0.0;0.306;2;1.607;practice;1
-5;-1;0.0;5;3.215;Left;0.803;5;lctrl;20;1;48;0.752;0.0;0.584;0;1.605;practice;1
-5;1;0.0;-5;2.286;Left;0.802;-5;lctrl;21;1;3;0.752;0.0;0.411;3;0.852;practice;1
-5;1;0.0;-5;2.253;Left;0.801;-5;lctrl;22;1;3;0.751;0.0;0.389;2;0.851;practice;1
-5;1;0.0;-5;2.246;Left;0.802;5;lctrl;23;-1;3;0.751;0.0;0.376;3;0.852;practice;1
5;1;0.0;5;2.271;Right;0.801;5;rctrl;24;1;3;0.751;0.0;0.395;1;0.851;practice;1
-5;-1;0.0;5;2.318;Left;0.802;5;lctrl;25;1;3;0.752;0.0;0.445;3;0.852;practice;1
5;-1;0.0;-5;3.16;Right;0.801;5;rctrl;26;-1;48;0.751;0.0;0.538;2;1.603;practice;1
5;1;0.0;5;3.126;Right;0.806;5;rctrl;27;1;48;0.756;0.0;0.499;3;1.608;practice;1
5;-1;0.0;-5;3.136;Right;0.802;-5;rctrl;28;1;48;0.752;0.0;0.506;0;1.604;practice;1
-5;-1;0.0;5;2.614;Left;0.806;-5;lctrl;29;-1;3;0.756;0.0;0.743;0;0.856;practice;1
5;1;0.0;5;3.173;Right;0.801;-5;rctrl;30;-1;48;0.751;0.0;0.532;0;1.604;practice;1
-5;-1;0.0;5;3.111;Left;0.802;5;lctrl;31;1;48;0.752;0.0;0.492;2;1.605;practice;1
5;-1;0.0;-5;2.423;Right;0.802;-5;rctrl;32;1;3;0.752;0.0;0.547;3;0.852;practice;1
5;1;0.0;5;3.045;Right;0.803;-5;rctrl;1;-1;48;0.752;0.0;0.424;0;1.605;ex1;1
-5;1;0.0;-5;2.284;Left;0.802;5;lctrl;2;-1;3;0.752;0.0;0.417;2;0.852;ex1;1
5;-1;0.0;-5;3.038;Right;0.806;-5;rctrl;3;1;48;0.756;0.0;0.405;3;1.609;ex1;1
-5;-1;0.0;5;2.364;Left;0.801;-5;lctrl;4;-1;3;0.751;0.0;0.486;2;0.851;ex1;1
5;-1;0.0;-5;2.287;Right;0.802;5;rctrl;5;-1;3;0.752;0.0;0.405;2;0.857;ex1;1
5;-1;0.0;-5;2.988;Right;0.801;5;rctrl;6;-1;48;0.751;0.0;0.381;3;1.604;ex1;1
-5;-1;0.0;5;3.042;Left;0.803;-5;lctrl;7;-1;48;0.753;0.0;0.424;0;1.605;ex1;1
5;1;0.0;5;2.322;Right;0.802;-5;rctrl;8;-1;3;0.752;0.0;0.453;2;0.852;ex1;1
-5;-1;0.0;5;2.296;Left;0.8;5;lctrl;9;1;3;0.751;0.0;0.431;3;0.851;ex1;1
-5;1;0.0;-5;2.413;Left;0.801;-5;lctrl;10;1;3;0.751;0.0;0.545;0;0.852;ex1;1
5;-1;0.0;-5;3.082;Right;0.801;5;rctrl;11;-1;48;0.751;0.0;0.453;2;1.604;ex1;1
5;1;0.0;5;3.082;Right;0.805;5;rctrl;12;1;48;0.755;0.0;0.458;3;1.607;ex1;1
5;-1;0.0;-5;2.425;Right;0.802;-5;rctrl;13;1;3;0.751;0.0;0.546;0;0.852;ex1;1
5;-1;0.0;-5;3.129;Right;0.801;-5;rctrl;14;1;48;0.751;0.0;0.514;1;1.604;ex1;1
-5;1;0.0;-5;2.378;Left;0.802;-5;lctrl;15;1;3;0.752;0.0;0.505;1;0.852;ex1;1
-5;-1;0.0;5;3.081;Left;0.802;5;lctrl;16;1;48;0.752;0.0;0.462;3;1.604;ex1;1
-5;1;0.0;-5;3.207;Left;0.806;5;lctrl;17;-1;48;0.756;0.0;0.578;3;1.608;ex1;1
-5;-1;0.0;5;3.144;Left;0.8;5;lctrl;18;1;48;0.75;0.0;0.523;1;1.602;ex1;1
-5;1;0.0;-5;2.394;Left;0.806;5;lctrl;19;-1;3;0.756;0.0;0.524;0;0.856;ex1;1
-5;1;0.0;-5;2.28;Left;0.802;5;lctrl;20;-1;3;0.752;0.0;0.409;1;0.852;ex1;1
-5;1;0.0;-5;2.302;Left;0.801;-5;lctrl;21;1;3;0.751;0.0;0.435;2;0.851;ex1;1
5;-1;0.0;-5;2.713;Right;0.803;-5;rctrl;22;1;3;0.753;0.0;0.835;2;0.853;ex1;1
-5;-1;0.0;5;3.098;Left;0.806;5;lctrl;23;1;48;0.756;0.0;0.463;0;1.608;ex1;1
5;1;0.0;5;2.302;Right;0.803;5;rctrl;24;1;3;0.753;0.0;0.426;2;0.853;ex1;1
5;1;0.0;5;2.224;Right;0.801;5;rctrl;25;1;3;0.751;0.0;0.359;3;0.851;ex1;1
5;1;0.0;5;3.031;Right;0.801;5;rctrl;26;1;48;0.751;0.0;0.407;2;1.608;ex1;1
-5;-1;0.0;5;3.328;Left;0.8;-5;lctrl;27;-1;48;0.75;0.0;0.705;3;1.604;ex1;1
-5;-1;0.0;5;3.172;Left;0.801;-5;lctrl;28;-1;48;0.751;0.0;0.552;2;1.604;ex1;1
5;-1;0.0;-5;2.372;Right;0.802;5;rctrl;29;-1;3;0.752;0.0;0.5;3;0.852;ex1;1
-5;-1;0.0;5;2.404;Left;0.806;5;lctrl;30;1;3;0.757;0.0;0.526;1;0.856;ex1;1
5;-1;0.0;-5;3.035;Right;0.8;-5;rctrl;31;1;48;0.75;0.0;0.411;2;1.601;ex1;1
5;-1;0.0;-5;2.3;Right;0.802;5;rctrl;32;-1;3;0.752;0.0;0.428;1;0.852;ex1;1
5;1;0.0;5;2.988;Right;0.801;5;rctrl;33;1;48;0.751;0.0;0.371;0;1.602;ex1;1
-5;-1;0.0;5;2.31;Left;0.807;-5;lctrl;34;-1;3;0.757;0.0;0.441;0;0.857;ex1;1
-5;1;0.0;-5;2.28;Left;0.801;5;lctrl;35;-1;3;0.751;0.0;0.404;3;0.851;ex1;1
-5;1;0.0;-5;3.082;Left;0.801;5;lctrl;36;-1;48;0.751;0.0;0.461;2;1.603;ex1;1
-5;-1;0.0;5;2.396;Left;0.801;-5;lctrl;37;-1;3;0.751;0.0;0.532;3;0.851;ex1;1
5;1;0.0;5;3.02;Right;0.806;-5;rctrl;38;-1;48;0.756;0.0;0.389;1;1.608;ex1;1
-5;1;0.0;-5;3.098;Left;0.801;-5;lctrl;39;1;48;0.751;0.0;0.48;1;1.602;ex1;1
-5;1;0.0;-5;2.942;Left;0.801;-5;lctrl;40;1;48;0.751;0.0;0.33;2;1.608;ex1;1
5;1;0.0;5;3.01;Right;0.802;-5;rctrl;41;-1;48;0.752;0.0;0.384;3;1.604;ex1;1
5;1;0.0;5;3.062;Right;0.801;5;rctrl;42;1;48;0.752;0.0;0.437;1;1.602;ex1;1
5;1;0.0;5;3.051;Right;0.801;-5;rctrl;43;-1;48;0.751;0.0;0.43;2;1.604;ex1;1
-5;1;0.0;-5;2.3;Left;0.802;-5;lctrl;44;1;3;0.752;0.0;0.426;3;0.852;ex1;1
5;-1;0.0;-5;3.16;Right;0.801;5;rctrl;45;-1;48;0.751;0.0;0.535;1;1.604;ex1;1
-5;1;0.0;-5;3.0;Left;0.806;-5;lctrl;46;1;48;0.756;0.0;0.368;0;1.609;ex1;1
5;1;0.0;5;2.253;Right;0.802;5;rctrl;47;1;3;0.752;0.0;0.388;0;0.852;ex1;1
5;1;0.0;5;2.2;Right;0.803;5;rctrl;48;1;3;0.753;0.0;0.334;1;0.853;ex1;1
5;-1;0.0;-5;2.414;Right;0.801;-5;rctrl;49;1;3;0.751;0.0;0.54;3;0.851;ex1;1
-5;-1;0.0;5;2.349;Left;0.804;-5;lctrl;50;-1;3;0.754;0.0;0.467;1;0.855;ex1;1
-5;1;0.0;-5;3.004;Left;0.8;-5;lctrl;51;1;48;0.75;0.0;0.381;3;1.602;ex1;1
-5;1;0.0;-5;3.066;Left;0.806;5;lctrl;52;-1;48;0.756;0.0;0.436;0;1.608;ex1;1
5;1;0.0;5;2.3;Right;0.802;-5;rctrl;53;-1;3;0.752;0.0;0.421;3;0.852;ex1;1
5;1;0.0;5;2.302;Right;0.805;-5;rctrl;54;-1;3;0.755;0.0;0.43;1;0.856;ex1;1
-5;-1;0.0;5;3.113;Left;0.801;-5;lctrl;55;-1;48;0.751;0.0;0.485;1;1.604;ex1;1
5;-1;0.0;-5;3.05;Right;0.802;-5;rctrl;56;1;48;0.752;0.0;0.428;0;1.604;ex1;1
-5;1;0.0;-5;3.002;Left;0.802;5;lctrl;57;-1;48;0.752;0.0;0.386;1;1.603;ex1;1
-5;-1;0.0;5;2.634;Left;0.802;5;rctrl;58;1;3;0.752;0.0;0.733;2;0.852;ex1;0
5;-1;0.0;-5;2.317;Right;0.807;-5;rctrl;59;1;3;0.757;0.0;0.438;1;0.857;ex1;1
-5;-1;0.0;5;2.972;Left;0.802;5;lctrl;60;1;48;0.752;0.0;0.351;2;1.604;ex1;1
-5;-1;0.0;5;2.231;Left;0.803;5;lctrl;61;1;3;0.753;0.0;0.363;0;0.853;ex1;1
5;1;0.0;5;2.286;Right;0.806;-5;rctrl;62;-1;3;0.756;0.0;0.41;0;0.856;ex1;1
5;-1;0.0;-5;3.035;Right;0.801;5;rctrl;63;-1;48;0.751;0.0;0.417;0;1.604;ex1;1
5;-1;0.0;-5;2.445;Right;0.802;5;rctrl;64;-1;3;0.752;0.0;0.57;0;0.852;ex1;1
-5;1;0.0;-5;2.289;Left;0.801;-5;lctrl;1;1;3;0.751;0.0;0.419;3;0.851;ex2;1
-5;1;0.0;-5;2.234;Left;0.803;-5;lctrl;2;1;3;0.752;0.0;0.364;2;0.853;ex2;1
5;-1;0.0;-5;2.24;Right;0.805;5;lctrl;3;-1;3;0.755;0.0;0.336;1;0.856;ex2;0
-5;-1;0.0;5;3.097;Left;0.801;5;lctrl;4;1;48;0.751;0.0;0.48;1;1.608;ex2;1
5;-1;0.0;-5;3.14;Right;0.802;5;rctrl;5;-1;48;0.752;0.0;0.512;3;1.605;ex2;1
5;-1;0.0;-5;2.377;Right;0.802;-5;rctrl;6;1;3;0.752;0.0;0.507;2;0.852;ex2;1
-5;-1;0.0;5;2.253;Left;0.802;5;lctrl;7;1;3;0.752;0.0;0.386;0;0.852;ex2;1
5;1;0.0;5;2.964;Right;0.803;-5;rctrl;8;-1;48;0.753;0.0;0.347;3;1.605;ex2;1
-5;-1;0.0;5;2.41;Left;0.802;5;lctrl;9;1;3;0.751;0.0;0.537;1;0.852;ex2;1
-5;1;0.0;-5;2.316;Left;0.806;5;lctrl;10;-1;3;0.756;0.0;0.441;0;0.856;ex2;1
-5;1;0.0;-5;2.27;Left;0.802;-5;lctrl;11;1;3;0.752;0.0;0.402;1;0.852;ex2;1
5;-1;0.0;-5;2.356;Right;0.802;-5;rctrl;12;1;3;0.751;0.0;0.477;0;0.852;ex2;1
-5;1;0.0;-5;3.113;Left;0.802;5;lctrl;13;-1;48;0.752;0.0;0.465;0;1.605;ex2;1
5;-1;0.0;-5;2.38;Right;0.801;5;rctrl;14;-1;3;0.751;0.0;0.507;2;0.851;ex2;1
5;1;0.0;5;3.02;Right;0.801;-5;rctrl;15;-1;48;0.751;0.0;0.401;2;1.602;ex2;1
-5;-1;0.0;5;2.37;Left;0.807;5;lctrl;16;1;3;0.757;0.0;0.486;2;0.857;ex2;1
-5;-1;0.0;5;2.318;Left;0.801;-5;lctrl;17;-1;3;0.751;0.0;0.451;1;0.851;ex2;1
-5;-1;0.0;5;3.055;Left;0.803;-5;lctrl;18;-1;48;0.753;0.0;0.435;0;1.604;ex2;1
5;-1;0.0;-5;2.309;Right;0.807;-5;rctrl;19;1;3;0.757;0.0;0.43;1;0.857;ex2;1
5;-1;0.0;-5;2.349;Right;0.801;-5;rctrl;20;1;3;0.751;0.0;0.473;3;0.851;ex2;1
-5;1;0.0;-5;3.079;Left;0.802;5;lctrl;21;-1;48;0.752;0.0;0.457;2;1.605;ex2;1
5;1;0.0;5;3.08;Right;0.802;5;rctrl;22;1;48;0.752;0.0;0.449;1;1.604;ex2;1
-5;1;0.0;-5;3.19;Left;0.801;5;lctrl;23;-1;48;0.751;0.0;0.558;1;1.608;ex2;1
5;1;0.0;5;2.552;Right;0.801;-5;rctrl;24;-1;3;0.751;0.0;0.685;2;0.852;ex2;1
-5;-1;0.0;5;2.37;Left;0.8;5;lctrl;25;1;3;0.75;0.0;0.502;3;0.85;ex2;1
5;1;0.0;5;2.419;Right;0.802;-5;rctrl;26;-1;3;0.751;0.0;0.532;1;0.852;ex2;1
5;1;0.0;5;2.302;Right;0.801;-5;rctrl;27;-1;3;0.751;0.0;0.426;3;0.851;ex2;1
5;1;0.0;5;3.02;Right;0.806;-5;rctrl;28;-1;48;0.756;0.0;0.385;0;1.608;ex2;1
-5;-1;0.0;5;3.144;Left;0.801;-5;lctrl;29;-1;48;0.751;0.0;0.522;3;1.604;ex2;1
5;-1;0.0;-5;3.11;Right;0.801;-5;rctrl;30;1;48;0.751;0.0;0.476;2;1.609;ex2;1
-5;1;0.0;-5;3.035;Left;0.8;5;lctrl;31;-1;48;0.75;0.0;0.422;3;1.602;ex2;1
5;1;0.0;5;2.322;Right;0.806;5;rctrl;32;1;3;0.756;0.0;0.442;0;0.856;ex2;1
-5;1;0.0;-5;2.988;Left;0.801;-5;lctrl;33;1;48;0.751;0.0;0.357;3;1.604;ex2;1
-5;-1;0.0;5;3.098;Left;0.801;5;lctrl;34;1;48;0.751;0.0;0.466;2;1.604;ex2;1
-5;-1;0.0;5;3.145;Left;0.802;5;lctrl;35;1;48;0.752;0.0;0.514;3;1.604;ex2;1
-5;1;0.0;-5;2.287;Left;0.801;5;lctrl;36;-1;3;0.751;0.0;0.419;3;0.852;ex2;1
-5;1;0.0;-5;3.057;Left;0.807;-5;lctrl;37;1;48;0.757;0.0;0.423;1;1.609;ex2;1
5;1;0.0;5;2.349;Right;0.851;5;rctrl;38;1;3;0.801;0.0;0.434;2;0.902;ex2;1
5;1;0.0;5;2.242;Right;0.801;5;rctrl;39;1;3;0.751;0.0;0.364;1;0.851;ex2;1
-5;-1;0.0;5;2.38;Left;0.801;-5;lctrl;40;-1;3;0.751;0.0;0.507;2;0.851;ex2;1
5;-1;0.0;-5;3.063;Right;0.802;-5;rctrl;41;1;48;0.752;0.0;0.443;3;1.605;ex2;1
5;1;0.0;5;3.096;Right;0.802;5;rctrl;42;1;48;0.752;0.0;0.468;3;1.604;ex2;1
5;-1;0.0;-5;3.174;Right;0.802;5;rctrl;43;-1;48;0.752;0.0;0.551;0;1.609;ex2;1
