,Trial,Condition,Stimulus,Abs_start,Abs_stim_end,Abs_trial_end,RT,Stim_type,Accuracy,PE_RT,NPE_RT,NC_RT
0,0,P1,D,1479653253861,1479653254860,1479653254906,-1,FILLER,,,,
1,1,P1,D,1479653253861,1479653255920,1479653255967,-1,FILLER,,,,
2,2,P1,D,1479653253861,1479653256966,1479653257012,-1,FILLER,,,,
3,3,P1,T,1479653253861,1479653258011,1479653258058,-1,FILLER,,,,
4,4,P1,S,1479653253861,1479653259072,1479653259118,-1,PE,,,,
5,5,P1,T,1479653253861,1479653260117,1479653260164,-1,FILLER,,,,
6,6,P1,T,1479653253861,1479653261162,1479653261209,-1,FILLER,,,,
7,7,P1,S,1479653253861,1479653262207,1479653262270,-1,PE,,,,
8,8,P1,M,1479653253861,1479653263268,1479653263315,-1,FILLER,,,,
9,9,P1,V,1479653253861,1479653264313,1479653264360,-1,FILLER,,,,
10,10,P1,S,1479653253861,1479653265359,1479653265421,-1,PE,,,,
11,11,P1,D,1479653253861,1479653266420,1479653266466,-1,FILLER,,,,
12,12,P1,T,1479653253861,1479653267465,1479653267512,-1,FILLER,,,,
13,13,P1,M,1479653253861,1479653268510,1479653268557,-1,FILLER,,,,
14,14,P1,S,1479653253861,1479653269571,1479653269618,-1,PE,,,,
15,15,P1,D,1479653253861,1479653270616,1479653270663,-1,FILLER,,,,
16,16,P1,V,1479653253861,1479653271661,1479653271708,-1,FILLER,,,,
17,17,P1,D,1479653253861,1479653272722,1479653272769,-1,FILLER,,,,
18,18,P1,V,1479653253861,1479653273767,1479653273814,-1,FILLER,,,,
19,19,P1,T,1479653253861,1479653274813,1479653274859,-1,FILLER,,,,
20,20,P1,S,1479653253861,1479653275858,1479653275920,-1,PE,,,,
21,21,P1,T,1479653253861,1479653276919,1479653276965,-1,FILLER,,,,
22,22,P1,D,1479653253861,1479653277964,1479653278011,-1,FILLER,,,,
23,23,P1,V,1479653253861,1479653279009,1479653279072,-1,FILLER,,,,
24,24,P1,M,1479653253861,1479653280070,1479653280117,-1,FILLER,,,,
25,25,P1,M,1479653253861,1479653281115,1479653281162,-1,FILLER,,,,
26,26,P1,S,1479653253861,1479653282160,1479653282207,-1,PE,,,,
27,27,P1,S,1479653253861,1479653283221,1479653283268,-1,PE,,,,
28,28,P1,V,1479653253861,1479653284266,1479653284313,-1,FILLER,,,,
29,29,P1,V,1479653253861,1479653285312,1479653285359,-1,FILLER,,,,
30,30,P1,T,1479653253861,1479653286357,1479653286419,-1,FILLER,,,,
31,31,P1,D,1479653253861,1479653287418,1479653287465,-1,FILLER,,,,
32,32,P1,D,1479653253861,1479653288463,1479653288510,-1,FILLER,,,,
33,33,P1,D,1479653253861,1479653289508,1479653289571,-1,FILLER,,,,
34,34,P1,S,1479653253861,1479653290569,1479653290616,-1,PE,,,,
35,35,P1,T,1479653253861,1479653291614,1479653291661,-1,FILLER,,,,
36,36,P1,V,1479653253861,1479653292660,1479653292722,-1,FILLER,,,,
37,37,P1,M,1479653253861,1479653293752,1479653293798,-1,FILLER,,,,
38,38,P1,V,1479653253861,1479653294797,1479653294844,-1,FILLER,,,,
39,39,P1,T,1479653253861,1479653295842,1479653295904,-1,FILLER,,,,
40,40,P1,S,1479653253861,1479653296903,1479653296950,-1,PE,,,,
41,41,P1,T,1479653253861,1479653297948,1479653297995,-1,FILLER,,,,
42,42,P1,T,1479653253861,1479653298993,1479653299056,-1,FILLER,,,,
43,43,P1,V,1479653253861,1479653300054,1479653300101,-1,FILLER,,,,
44,44,P1,S,1479653253861,1479653301099,1479653301146,-1,PE,,,,
45,45,P1,M,1479653253861,1479653302145,1479653302191,-1,FILLER,,,,
46,46,P1,M,1479653253861,1479653303206,1479653303252,-1,FILLER,,,,
47,47,P1,V,1479653253861,1479653304251,1479653304298,-1,FILLER,,,,
48,48,P1,T,1479653253861,1479653305296,1479653305343,-1,FILLER,,,,
49,49,P1,V,1479653253861,1479653306341,1479653306404,-1,FILLER,,,,
50,50,P1,V,1479653253861,1479653307402,1479653307449,-1,FILLER,,,,
51,51,P1,D,1479653253861,1479653308447,1479653308494,-1,FILLER,,,,
52,52,P1,T,1479653253861,1479653309493,1479653309555,-1,FILLER,,,,
53,53,P1,M,1479653253861,1479653310553,1479653310600,-1,FILLER,,,,
54,54,P1,S,1479653253861,1479653311599,1479653311645,-1,PE,,,,
55,55,P1,M,1479653253861,1479653312644,1479653312706,-1,FILLER,,,,
56,56,P1,M,1479653253861,1479653313705,1479653313751,-1,FILLER,,,,
57,57,P1,S,1479653253861,1479653314750,1479653314797,-1,PE,,,,
58,58,P1,D,1479653253861,1479653315795,1479653315842,-1,FILLER,,,,
59,59,P1,S,1479653253861,1479653316856,1479653316903,-1,PE,,,,
60,60,P1,M,1479653253861,1479653317901,1479653317948,-1,FILLER,,,,
61,61,P1,V,1479653253861,1479653318946,1479653318993,-1,FILLER,,,,
62,62,P1,T,1479653253861,1479653319992,1479653320054,-1,FILLER,,,,
63,63,P1,M,1479653253861,1479653321052,1479653321099,-1,FILLER,,,,
64,64,P1,M,1479653253861,1479653322098,1479653322145,-1,FILLER,,,,
65,65,P1,V,1479653253861,1479653323143,1479653323205,-1,FILLER,,,,
66,66,P1,S,1479653253861,1479653324204,1479653324251,-1,PE,,,,
67,67,P1,D,1479653253861,1479653325249,1479653325296,-1,FILLER,,,,
68,68,P1,S,1479653253861,1479653326294,1479653326341,-1,PE,,,,
69,69,P1,S,1479653253861,1479653327355,1479653327402,-1,PE,,,,
70,70,P1,S,1479653253861,1479653328400,1479653328447,-1,PE,,,,
71,71,P1,D,1479653253861,1479653329446,1479653329492,-1,FILLER,,,,
72,72,P1,S,1479653253861,1479653330506,1479653330553,-1,PE,,,,
73,73,P1,V,1479653253861,1479653331552,1479653331598,-1,FILLER,,,,
74,74,P1,T,1479653253861,1479653332597,1479653332644,-1,FILLER,,,,
75,75,P1,D,1479653253861,1479653333642,1479653333704,-1,FILLER,,,,
76,76,P1,M,1479653253861,1479653334703,1479653334750,-1,FILLER,,,,
77,77,P1,M,1479653253861,1479653335748,1479653335795,-1,FILLER,,,,
78,78,P1,S,1479653253861,1479653336793,1479653336856,-1,PE,,,,
79,79,P1,S,1479653253861,1479653337854,1479653337901,-1,PE,,,,
