,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Near,5,2,2,3,1,n,1.57800006866,4.64899992943,9.01600003242,0,2.0039999485,3.07099986076,7.10500001907,7.43799996376
1,Near,6,3,2,3,2,n,10.5420000553,12.8320000172,17.632999897,0,1.99000000954,2.28999996185,6.32399988174,7.09099984169
2,Loss,4,2,5,2,0,n,19.1940000057,23.0329999924,27.7669999599,0,1.98799991608,3.83899998665,7.87299990654,8.57299995422
3,Win,8,5,3,3,0,y,29.3269999027,32.9330000877,37.4509999752,0,1.98900008202,3.60600018501,7.6400001049,8.12400007248
4,Win,4,2,2,2,0,y,39.0169999599,44.7850000858,49.3350000381,0,2.0,5.76800012589,9.80100011826,10.3180000782
5,Loss,5,6,1,-1,0,y,50.8499999046,52.986000061,57.4189999104,0,2.00100016594,2.1360001564,6.16900014877,6.56900000572
6,Near,4,2,1,2,2,y,58.9790000916,62.5190000534,66.5859999657,0,1.99000000954,3.53999996185,7.57399988174,7.60699987411
7,Win,1,0,1,1,0,y,68.1740000248,72.635999918,76.7699999809,0,1.99499988556,4.46199989319,8.4960000515,8.59599995613
8,Win,2,2,0,0,0,y,78.3080000877,81.9869999886,86.3710000515,0,1.99499988556,3.67899990082,7.71299982071,8.06299996376
9,Loss,1,2,1,-1,2,n,87.9389998913,91.4040000439,96.3550000191,0,1.99800014496,3.46500015259,7.49900007248,8.41600012779
10,Loss,2,3,2,-1,2,n,97.9990000725,102.204999924,106.506000042,0,1.9889998436,4.20599985123,8.24000000954,8.50699996948
11,Near,7,3,3,4,1,y,108.085000038,111.22300005,115.407000065,0,1.98799991608,3.13800001144,7.17199993134,7.3220000267
12,Loss,6,7,2,-1,0,n,116.937000036,120.256999969,124.740999937,0,2.00300002098,3.31999993324,7.35399985313,7.80399990082
13,Win,6,3,3,3,0,y,126.312999964,129.806999922,134.342000008,0,1.99399995804,3.49399995804,7.52900004387,8.02900004387
14,Loss,3,1,4,2,0,y,135.940000057,139.174999952,143.39199996,0,2.00099992752,3.2349998951,7.26900005341,7.45199990273
15,Win,3,2,1,1,0,y,144.921000004,148.64199996,153.226999998,0,1.98799991608,3.72099995613,7.7539999485,8.30599999428
16,Near,1,0,0,1,1,n,154.798000097,156.892999887,160.959000111,0,1.99499988556,2.09499979019,6.12799978256,6.16100001335
17,Win,7,3,4,4,0,y,162.526000023,167.194000006,171.594000101,0,2.00099992752,4.66799998283,8.7009999752,9.0680000782
18,Near,8,4,3,4,2,y,173.160000086,176.811000109,181.04399991,0,2.00099992752,3.65100002289,7.68400001526,7.88399982452
19,Win,5,4,1,1,0,y,182.565999985,184.812000036,189.562000036,0,1.9960000515,2.2460000515,6.27900004387,6.9960000515
20,Loss,7,1,8,6,1,n,191.128000021,193.312999964,197.746000051,0,2.00099992752,2.18499994278,6.21799993515,6.61800003052
21,Loss,8,2,9,6,1,n,199.313999891,202.996999979,207.630000114,0,1.99800014496,3.68300008774,7.71600008011,8.31600022316
22,Near,3,0,2,3,1,y,209.161999941,212.880000114,217.381999969,0,2.00100016594,3.71800017357,7.75200009346,8.22000002861
23,Near,2,1,0,1,2,n,218.957000017,222.430999994,226.714999914,0,1.99000000954,3.47399997711,7.507999897,7.757999897
