,condition,target,left,right,remainder,near_miss_side,decision,onset_utc,stop_utc,decision_utc,trial_start,spin_start_tt,spin_stop_tt,decision_start_tt,decision_tt
0,Loss,1,2,1,-1,2,n,4.77500009537,9.00500011444,14.361000061,0,2.00200009346,4.23000001907,8.32299995422,9.58599996567
1,Win,8,5,3,3,0,n,18.8930001259,21.7760000229,26.3630001545,0,2.0,2.882999897,6.93899989128,7.47000002861
2,Near,8,4,3,4,2,n,30.9910001755,33.5680000782,39.496999979,0,1.99899983406,2.57699990273,6.6289999485,8.50599980354
3,Win,4,2,2,2,0,n,44.2130000591,47.5910000801,58.8949999809,0,2.00200009346,3.37800002098,7.4430000782,14.6819999218
4,Win,2,2,0,0,0,n,63.5540001392,67.2620000839,72.6070001125,0,1.98099994659,3.70799994469,7.77399992943,9.0529999733
5,Loss,3,1,4,2,0,n,77.1210000515,81.3010001183,87.3900001049,0,1.98399996758,4.18000006676,8.242000103,10.2690000534
6,Loss,7,1,8,6,1,n,92.0310001373,95.6490001678,101.046000004,0,1.99099993706,3.61800003052,7.67899990082,9.01499986649
7,Near,4,2,1,2,2,n,105.719000101,109.440999985,157.847000122,0,1.98699998856,3.72199988365,7.79600000381,52.128000021
8,Win,3,2,1,1,0,n,162.462000132,167.274000168,172.685000181,0,1.98799991608,4.81200003624,8.8599998951,10.2230000496
9,Loss,4,2,5,2,0,n,177.338999987,180.101999998,209.743000031,0,1.99699997902,2.76300001144,6.8259999752,32.4040000439
10,Near,6,3,2,3,2,n,214.940000057,219.502000093,224.97300005,0,2.08700013161,4.56200003624,8.62000012398,10.0329999924
11,Win,6,3,3,3,0,n,229.59800005,232.328000069,262.0,0,1.9960000515,2.73000001907,6.79100012779,32.4019999504
12,Loss,6,7,2,-1,0,n,266.509000063,269.069000006,274.738000154,0,1.99799990654,2.55999994278,6.62800002098,8.22900009155
13,Near,5,2,2,3,1,n,279.413000107,282.161000013,286.751000166,0,1.9849998951,2.74799990654,6.8069999218,7.33800005913
14,Loss,8,2,9,6,1,n,291.39199996,293.904999971,298.603000164,0,1.98100018501,2.51300001144,6.57000017166,7.21100020409
15,Near,7,3,3,4,1,n,303.144000053,305.713999987,310.163000107,0,1.99099993706,2.56999993324,6.61299991608,7.01900005341
16,Near,3,0,2,3,1,n,314.794000149,317.263000011,321.910000086,0,1.9849998951,2.46899986267,6.53600001335,7.11599993706
17,Near,2,1,0,1,2,n,326.565999985,329.023000002,333.49000001,0,2.00400018692,2.45700001717,6.53400015831,6.9240000248
18,Win,5,4,1,1,0,n,338.147000074,341.032999992,346.587000132,0,1.99900007248,2.88599991798,6.95799994469,8.44000005722
19,Win,7,3,4,4,0,n,351.118000031,353.88499999,361.426000118,0,1.98600006104,2.76699995995,6.84700012207,10.3080000877
20,Loss,2,3,2,-1,2,n,366.101999998,372.110000134,377.50999999,0,1.98300004005,6.00800013542,10.0580000877,11.4079999924
21,Loss,5,6,1,-1,0,n,382.167000055,384.835000038,389.774000168,0,1.99099993706,2.66799998283,6.74399995804,7.60700011253
22,Win,1,0,1,1,0,n,394.282000065,396.883000135,401.374000072,0,1.99099993706,2.60100007057,6.65199995041,7.09200000763
23,Near,1,0,0,1,1,n,405.998000145,409.179000139,413.819000006,0,1.99300003052,3.18099999428,7.2349998951,7.82099986076
